occupation_name,year,quintile_0,quintile_1,quintile_2,quintile_3,quintile_4
도장·도금 기 조작원,2009,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222
도장·도금 기 조작원,2010,0.06666666666666667,0.2,0.2,0.13333333333333333,0.4
도장·도금 기 조작원,2011,0.0,0.3333333333333333,0.2,0.26666666666666666,0.2
도장·도금 기 조작원,2012,0.0,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.2857142857142857
도장·도금 기 조작원,2013,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727
도장·도금 기 조작원,2014,0.0,0.17647058823529413,0.35294117647058826,0.23529411764705882,0.23529411764705882
도장·도금 기 조작원,2015,0.0,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421
도장·도금 기 조작원,2016,0.0,0.0,0.4166666666666667,0.3333333333333333,0.25
도장·도금 기 조작원,2017,0.0,0.0,0.2857142857142857,0.5,0.21428571428571427
도장·도금 기 조작원,2018,0.0,0.045454545454545456,0.2727272727272727,0.45454545454545453,0.22727272727272727
도장·도금 기 조작원,2019,0.0,0.045454545454545456,0.22727272727272727,0.5454545454545454,0.18181818181818182
도장·도금 기 조작원,2020,0.0,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222
도장·도금 기 조작원,2021,0.0,0.0,0.35294117647058826,0.35294117647058826,0.29411764705882354
도장·도금 기 조작원,2022,0.0,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444
도장·도금 기 조작원,2023,0.0,0.0,0.14285714285714285,0.38095238095238093,0.47619047619047616
돌봄 및 보건 서비스 종사자,2009,0.7959183673469388,0.14285714285714285,0.061224489795918366,0.0,0.0
돌봄 및 보건 서비스 종사자,2010,0.8275862068965517,0.1206896551724138,0.05172413793103448,0.0,0.0
돌봄 및 보건 서비스 종사자,2011,0.7575757575757576,0.19696969696969696,0.045454545454545456,0.0,0.0
돌봄 및 보건 서비스 종사자,2012,0.6486486486486487,0.2972972972972973,0.02702702702702703,0.02702702702702703,0.0
돌봄 및 보건 서비스 종사자,2013,0.5942028985507246,0.30434782608695654,0.057971014492753624,0.014492753623188406,0.028985507246376812
돌봄 및 보건 서비스 종사자,2014,0.620253164556962,0.26582278481012656,0.08860759493670886,0.012658227848101266,0.012658227848101266
돌봄 및 보건 서비스 종사자,2015,0.6091954022988506,0.2988505747126437,0.05747126436781609,0.011494252873563218,0.022988505747126436
돌봄 및 보건 서비스 종사자,2016,0.5822784810126582,0.3291139240506329,0.05063291139240506,0.012658227848101266,0.02531645569620253
돌봄 및 보건 서비스 종사자,2017,0.6818181818181818,0.18181818181818182,0.10606060606060606,0.0,0.030303030303030304
돌봄 및 보건 서비스 종사자,2018,0.5231481481481481,0.2361111111111111,0.21296296296296297,0.018518518518518517,0.009259259259259259
